system:index,area_ha,class,method,year,.geo
1_0,93028.4614609975,0,median,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,1822.8504521534996,1,median,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,1813.546545018304,2,median,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,6723.237975712435,3,median,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,8793.472472439425,4,median,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,9834.431634311844,5,median,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,70826.01977735826,6,median,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,458.8714921369244,7,median,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,331.1063403703516,8,median,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,91316.39026187263,0,p25,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,486.05842720062617,1,p25,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,1672.2568526963428,2,p25,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,7431.5841079685815,3,p25,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,16143.18195243251,4,p25,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,8555.383260269227,5,p25,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,67416.68319783638,6,p25,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7,362.8032086565556,7,p25,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8,247.65688156191655,8,p25,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
