system:index,area_ha,class,method,year,.geo
1_0,95771.58684891128,0,median,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,3509.2945437183084,1,median,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,439.09677799496836,2,median,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,7453.335151598497,3,median,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,8181.730139938848,4,median,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6748.325844180597,5,median,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,70889.18391571028,6,median,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,496.5793346273298,7,median,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,142.86559381175312,8,median,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,95834.33909254671,0,p25,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,2986.8311427620856,1,p25,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,473.99322809643803,2,p25,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,7473.019174742506,3,p25,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,8109.020588621399,4,p25,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,6736.954762078102,5,p25,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,71429.53040103671,6,p25,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7,457.2830541119328,7,p25,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8,131.02670650036364,8,p25,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
